"The Grinch*","Gold Class Katong","Gold Class Katong","09/12/2018","10:20 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/60/filmCode/6398/showDate/09-12-2018/showTime/1020/hallNumber/2"
"Fantastic Beasts: The Crimes Of Grindelwald","GV Tampines","GV Tampines","09/12/2018","9:35 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/6395/showDate/09-12-2018/showTime/935/hallNumber/8"
"The Grinch (Digital)","321 Clementi","WE-Clementi","10/12/2018","7:25 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78109&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Aquaman*","GV Tampines","GV Tampines","14/12/2018","3:25 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/6412/showDate/14-12-2018/showTime/1525/hallNumber/2"
"Mortal Engines*","GV Grand, Great World City","GV Grand, Great World City","12/12/2018","11:30 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/07/filmCode/6413/showDate/12-12-2018/showTime/1130/hallNumber/6"
"Kedarnath*","GV VivoCity","GV VivoCity","10/12/2018","7:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/4838/showDate/10-12-2018/showTime/1900/hallNumber/12"
"Aquaman*","Gold Class Suntec City","Gold Class Suntec City","13/12/2018","1:10 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/80/filmCode/6412/showDate/13-12-2018/showTime/1310/hallNumber/2"
"Robin Hood","GV Katong","GV Katong","11/12/2018","4:55 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6410/showDate/11-12-2018/showTime/1655/hallNumber/4"
"Robin Hood","GV Yishun","GV Yishun","11/12/2018","9:55 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/01/filmCode/6410/showDate/11-12-2018/showTime/2155/hallNumber/5"
"The Grinch","GVmax, VivoCity","GVmax, VivoCity","11/12/2018","10:30 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/051/filmCode/6398/showDate/11-12-2018/showTime/1030/hallNumber/1"
"Bohemian Rhapsody","Gemini Grand, Great World City","Gemini Grand, Great World City","12/12/2018","7:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/072/filmCode/6391/showDate/12-12-2018/showTime/1900/hallNumber/2"
"Bohemian Rhapsody","GV Suntec City","GV Suntec City","11/12/2018","7:05 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/12/filmCode/6391/showDate/11-12-2018/showTime/1905/hallNumber/1"
"The Grinch (Digital)","321 Clementi","WE-Clementi","12/12/2018","10:05 AM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78117&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Spider-Man: Into The Spider-Verse*","GV Paya Lebar","GV Paya Lebar","12/12/2018","4:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/13/filmCode/6414/showDate/12-12-2018/showTime/1600/hallNumber/3"
"Bohemian Rhapsody*","Gold Class Katong","Gold Class Katong","09/12/2018","12:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/60/filmCode/6391/showDate/09-12-2018/showTime/1240/hallNumber/2"
"The Devil Fish","GV Plaza","GV Plaza","09/12/2018","10:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/3555/showDate/09-12-2018/showTime/2240/hallNumber/3"
"Aquaman*","GV Jurong Point","GV Jurong Point","15/12/2018","6:45 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/04/filmCode/6412/showDate/15-12-2018/showTime/1845/hallNumber/5"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Bishan","GV Bishan","10/12/2018","6:35 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6396/showDate/10-12-2018/showTime/1835/hallNumber/5"
"Fantastic Beasts: The Crimes Of Grindelwald","GV Tiong Bahru","GV Tiong Bahru","09/12/2018","6:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/03/filmCode/6395/showDate/09-12-2018/showTime/1840/hallNumber/2"
"(Atmos) Spider-Man:Into The Spider-Verse*","GV VivoCity","GV VivoCity","11/12/2018","9:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6469/showDate/11-12-2018/showTime/2150/hallNumber/1"
"Robin Hood","GV VivoCity","GV VivoCity","10/12/2018","11:25 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6410/showDate/10-12-2018/showTime/1125/hallNumber/3"
"(Atmos) Aquaman*","GVmax Dolby Atmos, VivoCity","GVmax Dolby Atmos, VivoCity","14/12/2018","12:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/051*/filmCode/6472/showDate/14-12-2018/showTime/1200/hallNumber/1"
"Fantastic Beasts: The Crimes Of Grindelwald","GV Katong","GV Katong","11/12/2018","4:15 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6395/showDate/11-12-2018/showTime/1615/hallNumber/5"
"Mortal Engines*","GV Tampines","GV Tampines","10/12/2018","4:55 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/6413/showDate/10-12-2018/showTime/1655/hallNumber/1"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Tampines","GV Tampines","10/12/2018","9:40 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/6396/showDate/10-12-2018/showTime/940/hallNumber/6"
"(D-Box) Mortal Engines*","GV Bishan","GV Bishan","11/12/2018","10:20 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6467/showDate/11-12-2018/showTime/1020/hallNumber/1*"
"The Wrath*","GV VivoCity","GV VivoCity","11/12/2018","11:15 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/3562/showDate/11-12-2018/showTime/1115/hallNumber/12"
"Spider-Man: Into The Spider-Verse*","GV Plaza","GV Plaza","10/12/2018","6:35 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/6414/showDate/10-12-2018/showTime/1835/hallNumber/5"
"Spider-Man: Into The Spider-Verse*","GV Paya Lebar","GV Paya Lebar","12/12/2018","9:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/13/filmCode/6414/showDate/12-12-2018/showTime/2130/hallNumber/2"
"Aquaman*","GV Tampines","GV Tampines","14/12/2018","12:20 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/6412/showDate/14-12-2018/showTime/1220/hallNumber/2"
"The Grinch","GV Yishun","GV Yishun","09/12/2018","8:15 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/01/filmCode/6398/showDate/09-12-2018/showTime/2015/hallNumber/3"
"Creed II (Digital)","321 Clementi","WE-Clementi","10/12/2018","1:50 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78237&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Suntec City","GV Suntec City","09/12/2018","4:10 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/12/filmCode/6396/showDate/09-12-2018/showTime/1610/hallNumber/5"
"Aquaman (First Class)","321 Clementi (First Class)","WE-Clementi","14/12/2018","8:45 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=77922&args7=78F9C95434406353FDCE1E99790FFDA322645"
"(Tamil) (3d) 2.0*","GV Tampines","GV Tampines","09/12/2018","10:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/4835/showDate/09-12-2018/showTime/2200/hallNumber/8"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV VivoCity","GV VivoCity","12/12/2018","10:35 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6396/showDate/12-12-2018/showTime/1035/hallNumber/7"
"Fantastic Beasts: The Crimes of Grindelwald (Digital)","321 Clementi","WE-Clementi","12/12/2018","3:20 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78216&args7=78F9C95434406353FDCE1E99790FFDA322645"
"(D-Box) Mortal Engines*","GV Bishan","GV Bishan","11/12/2018","9:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6467/showDate/11-12-2018/showTime/2140/hallNumber/1*"
"Robin Hood","GV VivoCity","GV VivoCity","11/12/2018","3:45 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6410/showDate/11-12-2018/showTime/1545/hallNumber/3"
"Aquaman (Dolby Atmos Digital)","321 Clementi","WE-Clementi","19/12/2018","3:00 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78002&args7=78F9C95434406353FDCE1E99790FFDA322645"
"(Tamil) (3d) 2.0*","GV VivoCity","GV VivoCity","10/12/2018","6:10 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/4835/showDate/10-12-2018/showTime/1810/hallNumber/4"
"Aquaman: Dining Set*","Gold Class Grand, Great World City","Gold Class Grand, Great World City","15/12/2018","6:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/70/filmCode/6458/showDate/15-12-2018/showTime/1840/hallNumber/3"
"Widows*","GV Katong","GV Katong","12/12/2018","9:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6411/showDate/12-12-2018/showTime/2140/hallNumber/4"
"Bohemian Rhapsody","GV VivoCity","GV VivoCity","09/12/2018","7:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6391/showDate/09-12-2018/showTime/1900/hallNumber/6"
"Fantastic Beasts: The Crimes Of Grindelwald","GV Jurong Point","GV Jurong Point","09/12/2018","3:55 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/04/filmCode/6395/showDate/09-12-2018/showTime/1555/hallNumber/3"
"Aquaman*","GV City Square","GV City Square","13/12/2018","1:15 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/11/filmCode/6412/showDate/13-12-2018/showTime/1315/hallNumber/2"
"Mortal Engines*","Gold Class VivoCity","Gold Class VivoCity","11/12/2018","11:50 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/50/filmCode/6413/showDate/11-12-2018/showTime/1150/hallNumber/1"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Suntec City","GV Suntec City","12/12/2018","6:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/12/filmCode/6396/showDate/12-12-2018/showTime/1850/hallNumber/8"
"(D-Box) Aquaman*","GV Bishan","GV Bishan","14/12/2018","12:45 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6473/showDate/14-12-2018/showTime/45/hallNumber/2*"
"Mortal Engines*","GV Katong","GV Katong","11/12/2018","7:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6413/showDate/11-12-2018/showTime/1900/hallNumber/3"
"Aquaman*","Gold Class Grand, Great World City","Gold Class Grand, Great World City","15/12/2018","9:10 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/70/filmCode/6412/showDate/15-12-2018/showTime/910/hallNumber/3"
"Kedarnath*","GV VivoCity","GV VivoCity","12/12/2018","7:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/4838/showDate/12-12-2018/showTime/1900/hallNumber/12"
"Aquaman (First Class)","321 Clementi (First Class)","WE-Clementi","17/12/2018","5:20 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=77935&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Widows*","GV Grand, Great World City","GV Grand, Great World City","10/12/2018","9:25 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/07/filmCode/6411/showDate/10-12-2018/showTime/2125/hallNumber/4"
"Creed II","Gemini Grand, Great World City","Gemini Grand, Great World City","12/12/2018","1:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/072/filmCode/6409/showDate/12-12-2018/showTime/1330/hallNumber/2"
"Aquaman*","Grand Seats, Great World City","Grand Seats, Great World City","13/12/2018","11:05 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/076/filmCode/6412/showDate/13-12-2018/showTime/1105/hallNumber/6"
"(D-Box) Mortal Engines*","D-BOX, Bishan ","D-BOX, Bishan ","12/12/2018","6:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02*/filmCode/6467/showDate/12-12-2018/showTime/1850/hallNumber/1*"
"Mortal Engines*","GV Plaza","GV Plaza","11/12/2018","10:00 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/6413/showDate/11-12-2018/showTime/1000/hallNumber/8"
"Creed II","GV VivoCity","GV VivoCity","12/12/2018","4:10 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6409/showDate/12-12-2018/showTime/1610/hallNumber/12"
"The Grinch","GV City Square","GV City Square","09/12/2018","1:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/11/filmCode/6398/showDate/09-12-2018/showTime/1330/hallNumber/6"
"Bohemian Rhapsody","GV Tampines","GV Tampines","11/12/2018","10:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/6391/showDate/11-12-2018/showTime/2230/hallNumber/3"
"Aquaman*","GV Katong","GV Katong","14/12/2018","1:10 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6412/showDate/14-12-2018/showTime/1310/hallNumber/3"
"(D-Box) Aquaman*","D-BOX, Bishan ","D-BOX, Bishan ","15/12/2018","4:15 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02*/filmCode/6473/showDate/15-12-2018/showTime/1615/hallNumber/1*"
"Spider-Man: Into The Spider-Verse*","GV VivoCity","GV VivoCity","09/12/2018","12:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6414/showDate/09-12-2018/showTime/1250/hallNumber/1"
"Fantastic Beasts: The Crimes Of Grindelwald*","Gold Class VivoCity","Gold Class VivoCity","11/12/2018","1:10 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/50/filmCode/6395/showDate/11-12-2018/showTime/1310/hallNumber/3"
"(D-Box) Mortal Engines*","GV Bishan","GV Bishan","12/12/2018","4:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6467/showDate/12-12-2018/showTime/1600/hallNumber/1*"
"Kedarnath*","GV Yishun","GV Yishun","09/12/2018","6:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/01/filmCode/4838/showDate/09-12-2018/showTime/1850/hallNumber/6"
"Mortal Engines*","Gold Class Katong","Gold Class Katong","09/12/2018","3:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/60/filmCode/6413/showDate/09-12-2018/showTime/1540/hallNumber/2"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Plaza","GV Plaza","11/12/2018","12:05 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/6396/showDate/11-12-2018/showTime/1205/hallNumber/6"
"Fantastic Beasts: The Crimes Of Grindelwald","GV Yishun","GV Yishun","11/12/2018","9:25 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/01/filmCode/6395/showDate/11-12-2018/showTime/2125/hallNumber/6"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Yishun","GV Yishun","11/12/2018","9:20 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/01/filmCode/6396/showDate/11-12-2018/showTime/2120/hallNumber/8"
"The Grinch","GV Paya Lebar","GV Paya Lebar","12/12/2018","11:45 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/13/filmCode/6398/showDate/12-12-2018/showTime/1145/hallNumber/7"
"Spider-Man: Into The Spider-Verse*","GV Grand, Great World City","GV Grand, Great World City","12/12/2018","10:40 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/07/filmCode/6414/showDate/12-12-2018/showTime/1040/hallNumber/1"
"Widows*","GV Plaza","GV Plaza","09/12/2018","9:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/6411/showDate/09-12-2018/showTime/2140/hallNumber/2"
"Widows*","Gemini Grand, Great World City","Gemini Grand, Great World City","09/12/2018","4:15 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/072/filmCode/6411/showDate/09-12-2018/showTime/1615/hallNumber/2"
"Spider-Man: Into The Spider-Verse*","GV Paya Lebar","GV Paya Lebar","11/12/2018","1:15 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/13/filmCode/6414/showDate/11-12-2018/showTime/1315/hallNumber/3"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Katong","GV Katong","09/12/2018","4:25 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6396/showDate/09-12-2018/showTime/1625/hallNumber/1"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV VivoCity","GV VivoCity","11/12/2018","7:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6396/showDate/11-12-2018/showTime/1900/hallNumber/7"
"Spider-Man: Into The Spider-Verse*","Duo Deluxe, Paya Lebar","Duo Deluxe, Paya Lebar","12/12/2018","11:55 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/131/filmCode/6414/showDate/12-12-2018/showTime/1155/hallNumber/1"
"Spider-Man: Into The Spider-Verse*","GV Yishun","GV Yishun","11/12/2018","3:35 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/01/filmCode/6414/showDate/11-12-2018/showTime/1535/hallNumber/4"
"Creed II","GV Suntec City","GV Suntec City","10/12/2018","10:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/12/filmCode/6409/showDate/10-12-2018/showTime/2200/hallNumber/6"
"Disney's Ralph Breaks the Internet: Wreck-It Ralph 2 (Digital)","321 Clementi","WE-Clementi","9/12/2018","9:30 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78361&args7=78F9C95434406353FDCE1E99790FFDA322645"
"The Grinch","GV Jurong Point","GV Jurong Point","12/12/2018","6:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/04/filmCode/6398/showDate/12-12-2018/showTime/1840/hallNumber/1"
"(D-Box) Spider-Man:Into The Spider-Verse*","D-BOX, Bishan ","D-BOX, Bishan ","11/12/2018","9:15 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02*/filmCode/6470/showDate/11-12-2018/showTime/2115/hallNumber/2*"
"Widows*","Gold Class Suntec City","Gold Class Suntec City","10/12/2018","6:25 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/80/filmCode/6411/showDate/10-12-2018/showTime/1825/hallNumber/3"
"Mortal Engines*","GV Plaza","GV Plaza","12/12/2018","9:20 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/6413/showDate/12-12-2018/showTime/2120/hallNumber/8"
"Mortal Engines*","GV Bishan","GV Bishan","11/12/2018","4:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6413/showDate/11-12-2018/showTime/1600/hallNumber/1^"
"Aquaman*","GV Bedok","GV Bedok","13/12/2018","9:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/14/filmCode/6412/showDate/13-12-2018/showTime/2150/hallNumber/1"
"Bohemian Rhapsody*","Gold Class Suntec City","Gold Class Suntec City","11/12/2018","9:20 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/80/filmCode/6391/showDate/11-12-2018/showTime/2120/hallNumber/3"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Bishan","GV Bishan","12/12/2018","11:55 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6396/showDate/12-12-2018/showTime/1155/hallNumber/4"
"(D-Box) Aquaman*","D-BOX, Bishan ","D-BOX, Bishan ","13/12/2018","10:40 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02*/filmCode/6473/showDate/13-12-2018/showTime/1040/hallNumber/1*"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Jurong Point","GV Jurong Point","12/12/2018","4:05 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/04/filmCode/6396/showDate/12-12-2018/showTime/1605/hallNumber/4"
"The Wrath*","GV Paya Lebar","GV Paya Lebar","12/12/2018","6:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/13/filmCode/3562/showDate/12-12-2018/showTime/1850/hallNumber/6"
"Aquaman*","GV Suntec City","GV Suntec City","15/12/2018","12:20 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/12/filmCode/6412/showDate/15-12-2018/showTime/1220/hallNumber/6"
"(Jap) Pokemon The Movie: The Power Of Us","GV Plaza","GV Plaza","12/12/2018","9:50 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/3560/showDate/12-12-2018/showTime/950/hallNumber/3"
"Robin Hood","GV City Square","GV City Square","10/12/2018","9:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/11/filmCode/6410/showDate/10-12-2018/showTime/2140/hallNumber/3"
"(D-Box) Spider-Man:Into The Spider-Verse*","GV Bishan","GV Bishan","11/12/2018","6:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6470/showDate/11-12-2018/showTime/1840/hallNumber/2*"
"Aquaman*","Grand Seats, Great World City","Grand Seats, Great World City","13/12/2018","8:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/076/filmCode/6412/showDate/13-12-2018/showTime/2050/hallNumber/6"
"Fantastic Beasts: The Crimes Of Grindelwald","GV Tampines","GV Tampines","10/12/2018","4:10 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/6395/showDate/10-12-2018/showTime/1610/hallNumber/7"
"(Tamil) (3d) 2.0*","GV VivoCity","GV VivoCity","11/12/2018","3:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/4835/showDate/11-12-2018/showTime/1540/hallNumber/4"
"Robin Hood","GV Suntec City","GV Suntec City","10/12/2018","1:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/12/filmCode/6410/showDate/10-12-2018/showTime/1340/hallNumber/1"
"Aquaman*","GV Plaza","GV Plaza","15/12/2018","11:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/6412/showDate/15-12-2018/showTime/2350/hallNumber/8"
"(Tamil) (3d) 2.0*","GV VivoCity","GV VivoCity","10/12/2018","9:20 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/4835/showDate/10-12-2018/showTime/2120/hallNumber/4"
"(D-Box) Aquaman*","D-BOX, Bishan ","D-BOX, Bishan ","14/12/2018","3:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02*/filmCode/6473/showDate/14-12-2018/showTime/1530/hallNumber/2*"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Tampines","GV Tampines","09/12/2018","10:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/6396/showDate/09-12-2018/showTime/2200/hallNumber/7"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Yishun","GV Yishun","09/12/2018","10:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/01/filmCode/6396/showDate/09-12-2018/showTime/2200/hallNumber/8"
"Aquaman*","GV Tiong Bahru","GV Tiong Bahru","13/12/2018","10:10 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/03/filmCode/6412/showDate/13-12-2018/showTime/1010/hallNumber/1"
"Creed II","GV Bishan","GV Bishan","12/12/2018","10:35 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6409/showDate/12-12-2018/showTime/2235/hallNumber/6"
"The Grinch","GV Paya Lebar","GV Paya Lebar","11/12/2018","10:10 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/13/filmCode/6398/showDate/11-12-2018/showTime/1010/hallNumber/7"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Bishan","GV Bishan","11/12/2018","2:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6396/showDate/11-12-2018/showTime/1430/hallNumber/4"
"Spider-Man: Into The Spider-Verse*","GV Tampines","GV Tampines","11/12/2018","12:20 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/6414/showDate/11-12-2018/showTime/1220/hallNumber/4"
"Spider-Man: Into The Spider-Verse*","GV Paya Lebar","GV Paya Lebar","11/12/2018","9:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/13/filmCode/6414/showDate/11-12-2018/showTime/2130/hallNumber/2"
"Mortal Engines*","Gold Class VivoCity","Gold Class VivoCity","11/12/2018","3:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/50/filmCode/6413/showDate/11-12-2018/showTime/1500/hallNumber/1"
"Spider-Man: Into The Spider-Verse*","GV Bishan","GV Bishan","11/12/2018","6:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6414/showDate/11-12-2018/showTime/1840/hallNumber/2^"
"Robin Hood","GV Katong","GV Katong","09/12/2018","3:55 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6410/showDate/09-12-2018/showTime/1555/hallNumber/2"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Tampines","GV Tampines","11/12/2018","5:25 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/6396/showDate/11-12-2018/showTime/1725/hallNumber/6"
"Mortal Engines*","GV Bedok","GV Bedok","11/12/2018","9:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/14/filmCode/6413/showDate/11-12-2018/showTime/2140/hallNumber/1"
"The Grinch","GV Paya Lebar","GV Paya Lebar","10/12/2018","7:10 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/13/filmCode/6398/showDate/10-12-2018/showTime/1910/hallNumber/3"
"Aquaman*","GV Tiong Bahru","GV Tiong Bahru","15/12/2018","11:50 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/03/filmCode/6412/showDate/15-12-2018/showTime/1150/hallNumber/5"
"Aquaman (First Class)","321 Clementi (First Class)","WE-Clementi","14/12/2018","2:05 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=77920&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Katong","GV Katong","09/12/2018","10:30 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6396/showDate/09-12-2018/showTime/1030/hallNumber/2"
"Mortal Engines*","GV Plaza","GV Plaza","09/12/2018","10:45 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/6413/showDate/09-12-2018/showTime/1045/hallNumber/1"
"Spider-Man: Into The Spider-Verse*","GV Bishan","GV Bishan","10/12/2018","6:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6414/showDate/10-12-2018/showTime/1840/hallNumber/2^"
"(Atmos) Spider-Man:Into The Spider-Verse*","GV VivoCity","GV VivoCity","09/12/2018","6:35 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6469/showDate/09-12-2018/showTime/1835/hallNumber/1"
