"The Grinch","GV City Square","GV City Square","10/12/2018","1:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/11/filmCode/6398/showDate/10-12-2018/showTime/1330/hallNumber/6"
"Aquaman*","GV Jurong Point","GV Jurong Point","15/12/2018","9:30 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/04/filmCode/6412/showDate/15-12-2018/showTime/930/hallNumber/5"
"Mortal Engines*","Gold Class Grand, Great World City","Gold Class Grand, Great World City","09/12/2018","12:45 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/70/filmCode/6413/showDate/09-12-2018/showTime/1245/hallNumber/3"
"Widows*","GV Katong","GV Katong","10/12/2018","9:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6411/showDate/10-12-2018/showTime/2140/hallNumber/4"
"Aquaman*","GV Bedok","GV Bedok","13/12/2018","10:10 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/14/filmCode/6412/showDate/13-12-2018/showTime/1010/hallNumber/2"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Tampines","GV Tampines","10/12/2018","1:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/6396/showDate/10-12-2018/showTime/1330/hallNumber/7"
"Mortal Engines*","Grand Seats, Great World City","Grand Seats, Great World City","11/12/2018","11:30 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/076/filmCode/6413/showDate/11-12-2018/showTime/1130/hallNumber/6"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Tampines","GV Tampines","09/12/2018","9:40 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/6396/showDate/09-12-2018/showTime/940/hallNumber/6"
"Widows*","GV VivoCity","GV VivoCity","12/12/2018","10:05 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6411/showDate/12-12-2018/showTime/2205/hallNumber/9"
"Spider-Man: Into The Spider-Verse*","GV Plaza","GV Plaza","12/12/2018","1:25 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/6414/showDate/12-12-2018/showTime/1325/hallNumber/5"
"The Wrath*","GV VivoCity","GV VivoCity","12/12/2018","9:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/3562/showDate/12-12-2018/showTime/2140/hallNumber/12"
